,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ALMENDRAS (IMPORTADAS) *,,,,,,2026-03-31,
PRODUCTO,PRESENTACI├ôN,,REMITO,,,PX (IVA INCLUIDO),
,,,KG,BULTO,,KG,BULTO
MIX FRUTOS SECOS S/ MAN├ì X 1 KG,1 BOLSA x 1KG,,"$ 17.372,46","$ 17.372,46",,"$20,949.00","$ 20.949,14"
MIX CARIBE SIN MANI X 1 KG,1 BOLSA x 1KG,,"$ 15.973,36","$ 15.973,36",,"$19,262.00","$ 19.262,00"
HAPPY MIX X 1 KG (CON VAC├ìO),1 BOLSA x 1KG,,"$ 11.800,34","$ 11.800,34",,"$14,230.00","$ 14.229,82"
MIX SALADO X 1 KG (CON VAC├ìO),1 BOLSA x 1KG,,"$ 9.786,07","$ 9.786,07",,"$11,801.00","$ 11.800,85"
MIX ENERG├ëTICO X 1 KG,1 BOLSA x 1KG,,"$ 10.682,70","$ 10.682,70",,"$12,882.00","$ 12.882,08"
,,,,,,,
"Mix Premium (nuez mariposa extra light, avellana, casta├▒a y almendra)",,,,,,,
"Mix Frutos Secos SIN man├¡ (nuez mariposa extra light, casta├▒as de caj├║, almendras, pasas rubias y morenas)",,,,,,,
"Mix Caribe SIN man├¡ (nuez extra, almendras, casata├▒as de caj├║, pasas rubias y morenas, chips de bananas, frutas deshidroazucaradas,)",,,,,,,
"Mix Salado (man├¡ tostado salado, man├¡ sin sal, ma├¡z frito salado, semillas de girasol, semillas de calabaza, almendra)",,,,,,,
"Happy Mix (nuez mariposa extra light, nuez cuartos, pasas uva rubia, pasas uva morena, man├¡ sin sal y almendras)",,,,,,,
"Mix Energ├®tico (nuez mariposa extra light, chips de banana, cubos de papaya, almendra, man├¡ y pasas morena y rubia)",,,,,,,
Recetas sujetas a variaciones por disponiblibilidad de stock,,,,,,,
